The accession values with the maximum scores are:
LF808489.CDS.1	0.80912	0.98694	0.92484	0.88332	0.74855	0.92384
UY37981324.CDS.1	0.92974	0.91293	0.91030	0.91405	0.75470	0.69073
E15922.CDS.2	0.93469	0.90162	0.89459	0.90249	0.66879	0.72513
KI133588.CDS.2	0.92014	0.72695	0.94625	0.74057	0.94853	0.95909
JB80314549.CDS.3	0.80102	0.98768	0.62629	0.99495	0.96254	0.80627
J21782.CDS.3	0.73491	0.85234	0.98175	0.90916	0.92290	0.75649
F38888.CDS.1	0.87613	0.97624	0.81079	0.95616	0.68751	0.57004
HD25632497.CDS.1	0.95558	0.86626	0.85773	0.62459	0.92788	0.77265
TF58157495	0.74934	0.95665	0.73769	0.74153	0.98475	0.90908
PA237885.CDS.1	0.96287	0.92721	0.78114	0.47006	0.98215	0.73682

The accession values with the minimum scores are:
ND80117744.CDS.1	0.03857	0.14405	0.01885	0.12954	0.19140	0.52621
BE618688.CDS.1	0.02416	0.39571	0.00175	0.18439	0.05620	0.12393
KP22241601.CDS.2	0.10993	0.00139	0.09040	0.31939	0.28220	0.14353
QS900083.CDS.1	0.05965	0.09534	0.19437	0.08210	0.11048	0.51499
BQ99602892.CDS.1	0.33211	0.04800	0.05914	0.08998	0.03153	0.23823
UG92888132	0.01472	0.07617	0.04451	0.33629	0.03339	0.70814
LL231571.CDS.2	0.03657	0.13305	0.18567	0.15513	0.03643	0.60286
IE553374.CDS.1	0.20021	0.09695	0.10441	0.04017	0.07820	0.61511
GB94053773.CDS.2	0.09132	0.03131	0.00530	0.34515	0.23720	0.64037
IW38005607.CDS.2	0.15525	0.08693	0.08401	0.01709	0.38314	0.56832
